archivo,persona,transcripcion
Audios_WAV\Bryan\brayan_partes_018.wav,Bryan,You will feel a renamed connection to the natural world too. Tape remand use that with necessary care too. We need to pay attention to our plants to notice when they are thirsty.
Audios_WAV\Bryan\brayan_partes_019.wav,Bryan,or need a sooner location or a good dusting then respond accordingly sinning or plants trigger can help us stop a train
Audios_WAV\Bryan\brayan_partes_020.wav,Bryan,"A thing, sorry, can work happening if I applied some of this care and attention to myself. They teach use that small actions matter."
Audios_WAV\Bryan\brayan_partes_021.wav,Bryan,Self care don'ts does have to be a hoax time shock and shines don't need to be dramatic to make a big difference. Have you ever noticed a home wilted plant?
Audios_WAV\Bryan\brayan_partes_022.wav,Bryan,Peaks right up often a kick dream of water. Or homes simply shifting a plant to a different part of the house can give it and need less of life.
Audios_WAV\Bryan\brayan_partes_023.wav,Bryan,"Lidwes, when you feel a hover wealth be life, a small act live drinking a cool glass of water or steeping or for five minutes"
Audios_WAV\Bryan\brayan_partes_024.wav,Bryan,of soon see soon see if can really turn your day around they can be a mirror for our life if your favorite plant is your favorite plant looking a little
Audios_WAV\Bryan\brayan_partes_025.wav,Bryan,and or dropping if you are to bush it to grab the watering can this meaning be an indication that your coal also do win a life nourishing plant
Audios_WAV\Bryan\brayan_partes_026.wav,Bryan,can be a hardening mirror to reflect back us what's really gooding sorry what's really going on in our lives uh like
Audios_WAV\Bryan\brayan_partes_027.wav,Bryan,"to help the plants, our men need regular care and attention to grow too, they remain used to communicate our needs, did you know that there are rubber plants?"
Audios_WAV\Bryan\brayan_partes_028.wav,Bryan,Elasticas wet scorched leaf if it gets too much sun and starts to smell rotten if it's over water when a plant is unhappy it's
Audios_WAV\Bryan\brayan_partes_029.wav,Bryan,"not afraid to tell you that's something we humans can wear from. We often feel pressured to put on a happy face or suck it up, but we need to be"
Audios_WAV\Bryan\brayan_partes_030.wav,Bryan,To be able to communicate our needs if we want to trigger like our beloved plants It's good self care to notice the things that we may need ahead and to reach out
Audios_WAV\Bryan\brayan_partes_031.wav,Bryan,"to a true parcel in our life. They remain used that perfection is overrated. While there are some fussy plants out there, most plants can survive a light"
Audios_WAV\Bryan\brayan_partes_032.wav,Bryan,"nail it, suck as the every four guinni spider plants which always bonds but if you miss watering seasons or two you don't have to be a"
Audios_WAV\Bryan\brayan_partes_033.wav,Bryan,perfect plants parents to be a good one plants can be a good remain then we don't have to be perfect ourselves the important thing is to keep showing showing up sorry showing up and doing our
Audios_WAV\Bryan\brayan_partes_034.wav,Bryan,"best at learning from our mistakes. Ok, self care tips for plants. When you get down to eat plants and people need a lot of the same things."
Audios_WAV\Bryan\brayan_partes_035.wav,Bryan,"and here are some self-care tips that we can start from plants stay hydrated, drink your water, maybe a self-care glitches but water is a basic need"
Audios_WAV\Bryan\brayan_partes_036.wav,Bryan,"for greenery and humans alike. Your plants can be hungry, remember, to need to get that age to all shorter for yourselves. Every time"
Audios_WAV\Bryan\brayan_partes_037.wav,Bryan,"your water, your plants, follow up, fold it up, be getting your own glass of water and it's an easy way to create an hateful habit and is the key of"
Audios_WAV\Bryan\brayan_partes_038.wav,Bryan,winning game where every every one winner
Audios_WAV\Gabriel\gabriel_partes_000.wav,Gabriel,"Edgar Allan Poe, el corazón delator. Es cierto, siempre he sido nervioso, muy nervioso, terriblemente nervioso. Pero ¿por qué afirman ustedes que estoy loco? La enfermedad había agudizado mis sentidos, en vez de destruirlos o embotarlos. Y mi oído era el más agudo de todos. Oía todo lo que puede oírse en la tierra y en el cielo, muchas cosas oía en el..."
Audios_WAV\Gabriel\gabriel_partes_001.wav,Gabriel,"¿Cómo puedo estar loco entonces? Escuchen y observen con cuánta cordura, con cuánta tranquilidad les cuento mi historia. Me es imposible decir como aquella idea me entró en la cabeza por primera vez, pero una vez concebida me acosó noche y día. Yo no pude seguir a ningún propósito, ni tampoco estaba colérico, quería mucho al viejo, jamás me había hecho nada malo, jamás me insultó."
Audios_WAV\Gabriel\gabriel_partes_002.wav,Gabriel,"Su dinero no me interesaba, me parece que fue su ojo. Sí, eso fue. Tenía un ojo semejante al de un buitre, un ojo celeste y velado por una tela. Cada vez que lo clavaba en mí se me lava la sangre. Y así, poco a poco, muy gradualmente, me fui decidiendo a matar al viejo y librarme de aquel ojo para siempre. Presen atención ahora. Ustedes me tomaban por loco."
Audios_WAV\Gabriel\gabriel_partes_003.wav,Gabriel,"Pero los locos no saben nada, en cambio, si hubieran podido verme, si hubieran podido ver con qué habilidad procedí, con qué cuidado, con qué previsión, con qué disimulo me puse a la obra. Además, fui más amable con el viejo que la semana antes de matarlo todas las noches hacia las doce, hacía yo girar el picaporte de su puerta y le abría ojo tan suavemente. Y entonces cuando..."
Audios_WAV\Gabriel\gabriel_partes_004.wav,Gabriel,"La abertura era bastante grande para pasar la cabeza, levantaba una linterna sorda cerrada, completamente cerrada, de manera que no se viera ninguna luz, y tras ella pasaba la cabeza. ¡Oh, ustedes se hubieran reído al ver cuán astutamente pasaba la cabeza! La movía lentamente, muy, muy lentamente, a fin de no perturbar el sueño del viejo. Me llevaba una hora entera a introducir con..."
Audios_WAV\Gabriel\gabriel_partes_005.wav,Gabriel,"completamente la cabeza por la abertura de la puerta hasta haberlo tendido en su cama. ¿Eh? ¿Es que un loco hubiera se hubiera sido tan prudente como yo? Y entonces cuando tenía la cabeza completamente dentro del cuarto abría la linterna cautelosamente o tan cautelosamente. Sí, cautelosamente iba abriendo la linterna pues crujían las bisagras. La veía abriendo, la iba abriendo"
Audios_WAV\Gabriel\gabriel_partes_006.wav,Gabriel,"lo suficiente para que un solo rayo de luz cayera sobre el ojo del buitre. Y esto lo hice durante siete largas noches, cada noche a las doce. Pero siempre encontré el ojo cerrado. Y por eso me era imposible cumplir mi obra, porque no era el viejo quien me irritaba sino el mal de ojo. Y por la mañana, apenas iniciaba el día, entraba sin miedo en su habitación y le hablaba resueltamente."
Audios_WAV\Gabriel\gabriel_partes_007.wav,Gabriel,"llamándolo por su nombre con voz cordial y preguntándole cómo había pasado la noche. Ya ven ustedes que tendría que haber sido un viejo muy astuto para sospechar que todas las noches justamente a las 12 iba yo a mirarlo mientras dormía. Al llegar a la octava noche, procedí con mayor cautela que de costumbre al abrir la puerta. El minutero del reloj se mueve con más rapidez de lo que se movía mi mano. Jamás."
Audios_WAV\Gabriel\gabriel_partes_008.wav,Gabriel,"antes de que ayer noche había sentido el alcance de mis facultades, de mi sagacidad, apenas lograba contener mi impresión de triunfo, pensar que estaba ahí abriendo poco a poco a la puerta y que él ni siquiera soñaba con mis secretas intenciones o pensamientos. Me reí entre dientes ante esta idea y quizás me oyó porque lo sentí moverse repentinamente en su cama. Como si se sobresopiera."
Audios_WAV\Gabriel\gabriel_partes_009.wav,Gabriel,"saltara. Ustedes pensarán que me echése atrás, pero no. Su cuarto estaba tan negro como la pesa, ya que el viejo cerraba completamente las presianas por miedo a los ladrones. Yo sabía que era imposible distinguir la abertura de la puerta y seguir empujando suavemente, suavemente. Había ya pasado de la cabeza y me disponía a abrir la linterna cuando mi pulgar resbaló en el cierre metálico y me atrevió a abrir la linterna."
Audios_WAV\Gabriel\gabriel_partes_010.wav,Gabriel,"El viejo se enderezó en el lecho gritando, ¿quién está ahí? Permanecí inmóvil, sin decir palabra. Durante una hora entera no moví ni un solo músculo y en todo ese tiempo no vi que volviera a tenderse en la cama. Sigue sentado escuchando, tal como yo lo había hecho noche tras noche, mientras escuchaba en la pared de los taladros, cuyo sonido denuncia la muerte. Oiré"
Audios_WAV\Gabriel\gabriel_partes_011.wav,Gabriel,"pronto un leve quejido y supe que era el quejido que nace del terror. No expresaba dolor o pena, ¡oh no! Era el ahogado sonido que brota del fondo del alma cuando el espanto la sobrecoge. Bien conocía yo ese sonido. Muchas noches, justamente a las 12, cuando el mundo entero dormía surgió de mi pecho ahondando con su espantoso eco los terrores que me enloquecían."
Audios_WAV\Gabriel\gabriel_partes_012.wav,Gabriel,"Repito que lo conocía bien, comprendí lo que estaba sintiendo el viejo y le tuve lástima, aunque me reía en el fondo de mi corazón. Comprendí que había estado despierto desde el primer leve ruido cuando se murió en la cama. Había tratado de decirse que aquel ruido no era nada, pero sin conseguirlo. Pensaba, no es más que el viento en la chimenea o un grillo que chirrió una sola vez. Sí, había..."
Audios_WAV\Gabriel\gabriel_partes_013.wav,Gabriel,"trataba de darse ánimo con sus suposiciones, pero todo era en vano. Todo era en vano porque la muerte se había aproximado a él, deslizándose furtiva y envolvía a su víctima. Y la fúnebra influencia de aquella sombra imperceptible era lo que la movía a sentir. Aunque no podía verla ni oírla, a sentir la presencia de mi cabeza dentro de la habitación."
Audios_WAV\Gabriel\gabriel_partes_014.wav,Gabriel,"Después de haber esperado un largo tiempo con toda paciencia sin oír que volviera a acostarse, resolví abrir una pequeña, una pequeñísima ranura en la interna. Así lo hice. No puede imaginarse usted su que cuidado, con que inmenso cuidado, hasta que un fino rayo de luz, semejante al hilo de la araña, brotó de la ranura y cayó de lleno sobre el ojo del buitre. El ojo de buitre."
Audios_WAV\Gabriel\gabriel_partes_015.wav,Gabriel,"Está abierto, abierto en par en par, y yo empecé a enfurecerme mientras lo miraba, lo vi con toda claridad, de un azul apagado y con aquella horrible tela que me lava hasta el tuétano. Pero no puede haber nada de la cara o el cuerpo del viejo, pues como movido por un instinto, había orientado de las de luz exactamente hacia el punto maldito. No les he dicho ya que tomen errada..."
Audios_WAV\Gabriel\gabriel_partes_016.wav,Gabriel,"lo que tomo erradamente por lo curio es sobre la excesiva agudeza de los sentidos. En aquel momento llegó a mis oídos un resonar apagado y presuroso, como el que podría ser de un reloj envuelto en algodón. Aquel sonido también me era familiar, era la tira del corazón del viejo. Aumentó aún más mi furia, tal como el redolar de un tambor estimula el coraje de un soldado. Pero incluso en todo el mundo,"
Audios_WAV\Gabriel\gabriel_partes_017.wav,Gabriel,"Entonces me contuví y seguí callado, apenas y respirado, sostenía la linterna de modo que no se moviera tratando de mantener con toda firmeza posible el haz de luz sobre el ojo. Entretanto el infernal latir del corazón iba de momento, se hacía cada vez más rápido, cada vez más fuerte, momento a momento. El espanto del viejo tenía que ser terrible, cada vez más fuerte."
Audios_WAV\Gabriel\gabriel_partes_018.wav,Gabriel,"de más fuerte. Me siguen ustedes con atención, les he dicho que soy nervioso, sí, lo soy, y ahora a medianoche, en el terrible silencio de aquella antigua casa, un resonar tan extraño como aquel me llenó de un horror incontrolable. Sin embargo, me contuve todavía algunos momentos y permanecí inmóvil, pero el latido crecía cada vez más fuerte, más fuerte. Me pareció que..."
Audios_WAV\Gabriel\gabriel_partes_019.wav,Gabriel,"que el corazón iba a estallar y una nueva ansiedad se apoderó de mí. ¿Algún vecino podía escuchar aquel sonido? La hora del viejo había sonado, lanzando una larida abrida de toda la linterna. Me precipité en la habitación. El viejo clavó una vez, nada más que una vez. Me costó un segundo para arrojarlo en suelo y echarle encima el pesado colchón. Sonría alegremente al ver lo fácil que me había abierto."
Audios_WAV\Gabriel\gabriel_partes_020.wav,Gabriel,"todo, pero durante varios minutos el corazón siguió latiendo con un sonido ahogado. Claro que no me preocupaba, pues nadie podría haberlo escuchado a través de las paredes. Cesó, por fin de latir. El viejo había muerto. Levanté el colchón y examiné el cadáver. Sí, estaba muerto, completamente muerto. Apoyé la mano sobre el corazón y la mantuve así largo tiempo. Entonces sentía el menor latido."
Audios_WAV\Gabriel\gabriel_partes_021.wav,Gabriel,"El viejo estaba bien muerto. Su ojo no volvería a molestarme. Si ustedes continúen tomándome por loco, dejarán de hacerlo cuando les escriba las astutos precauciones que adopte para esconder el cadáver. La noche avanzaba mientras yo cumplía mi trabajo con rapidez pero en silencio. Ante todo, descuarticé el cadáver. Le corté la cabeza, brazos y piernas. Levanté luego tres planches del piso de la habitación y escondí los restos en el hueco."
Audios_WAV\Gabriel\gabriel_partes_022.wav,Gabriel,"Volví a colocar los talones con tanta habilidad que ningún ojo humano, ni siquiera el suyo, hubiera podido advertir la menor diferencia. No había nada que lavar ninguna mancha, ningún rastro de sangre. Yo era demasiado precavido para eso. Una cueva lo habría recogido todo. Jaja. Cuando hubiera terminado mi tarea, eran las 4 de la madrugada, pero seguía tan oscuro como a medias."
Audios_WAV\Gabriel\gabriel_partes_023.wav,Gabriel,"noche. En momentos en que subían las campanadas de la hora, golpearon a la puerta de la calle. Acudí a abrir con toda tranquilidad pues ¿qué podía temer ahora? Hay a tres caballeros que se presentaron muy civilmente como oficiales de policía. Durante la noche un vecino había escuchado un alarido, por lo cual se sospechaba la posibilidad de algún atentado. Al recibir este informe, en el puesto de la policía habían comisionado a los tres caballeros."
Audios_WAV\Gabriel\gabriel_partes_024.wav,Gabriel,"agentes para que registraran el lugar. Sonreí pues, que tenía que temer. Dí la bienvenida a los oficiales y les expliqué que yo había lanzado aquel grito durante una pesadilla, le hice saber que el viejo se había sentado en la campaña. Le veía a los visitantes al recorrer la casa y los invité a que revisaran, a que revisaran bien. Finalmente acabé conduciéndolos a la habitación del muerto, les mostré sus caudales"
Audios_WAV\Gabriel\gabriel_partes_025.wav,Gabriel,"intactos y como cada cosa se hallaba en su lugar. En el entusiasmo de mis confidencias, traje sillas a la habitación y pedí a los tres saballeros que se descansaran allí de su fatiga. Mientras yo vivo con la audacia y mi perfecto triunfo, colocaba mi silla en el exacto punto bajo el cual reposaba el cadáver de mi víctima. Los oficiales se sentían satisfechos."
Audios_WAV\Gabriel\gabriel_partes_026.wav,Gabriel,"se habían convencido, por mi parte me echaba perfectamente cómodo. Sentaronse y hablaron de cosas comunes mientras yo les contestaba con animación. Más, al cabo de un rato, empecé a notar que me ponía pálido y decía que se marcharon. Me dolía la cabeza y creía percibir un zumbido en los oídos, pero los policías continuaban sentados y charlando. El zumbido se hizo más..."
Audios_WAV\Gabriel\gabriel_partes_027.wav,Gabriel,"Intenso, seguía resonando y era cada vez más intenso. Hablé en voz muy alta para librarme de esa sensación, pero continuaba lo mismo y seguido haciendo cada vez más claro. Hasta que al fin me di cuenta de que aquel sonido no se producía dentro de mis oídos. Sin duda debí ponerme muy pálido, pero seguí hablando con crecientes alturas y levantando mucho la voz. Empero el sonido aumentaba."
Audios_WAV\Gabriel\gabriel_partes_028.wav,Gabriel,"¿Y qué podía hacer yo? Era un resonar apagado y presuroso, un sonido como el que podría ser un reloj envuelto en algodón. Yo jadeaba, tratando de recorrer el aliento y sin embargo, los policías no habían oído nada. Hablé como yo rapidez, con vehemencia, pero el sonido crecía continuamente. Me puse en pie y discutí sobre las significancias en voz muy alta."
Audios_WAV\Gabriel\gabriel_partes_029.wav,Gabriel,"y con violentas esticolaciones, pero el sonido crecía continuamente. ¿Por qué no se iban? Anduve de un lado a otro, a grandes pasos, como si las observaciones de aquellos hombres me enfurecieran, pero el sonido crecía continuamente. ¡Oh Dios, qué podía ser yo! Lancé espumarajos de rabia, maldije, juré, balanceando la silla sobre la cual me había sentado, raspé con ella las talas del piso, pero el sonido crecía continuamente."
Audios_WAV\Gabriel\gabriel_partes_030.wav,Gabriel,"yo sobrepujaba a todos los otros y crecía sin cesar. Más alto, más alto, más alto. Y entre tanto los hombres seguían charlando plácidamente y sonriendo. ¿Era posible que no oyeran? ¡Santo Dios! ¡No, no! Claro que lo oían y sospechaban. ¿Sabían y se estaban burlando de mi horror? Sí, así lo pensé y así lo pienso hoy."
Audios_WAV\Gabriel\gabriel_partes_031.wav,Gabriel,"Cualquier cosa era preferible a aquella agonía. Cualquier cosa sería más tolerable que aquel escarnio. No podía soportar más tiempo sus sonrisas hipócritas. Sentí que tenía que gritar o morir y entonces otra vez escuchen. Más fuerte, más fuerte, más fuerte, más fuerte. Basta ya de fingir malvados. Auyé. Confieso que lo mató."
Audios_WAV\Gabriel\gabriel_partes_032.wav,Gabriel,"levanten esos tablones allí, allí donde está lateando su horrible corazón."
Audios_WAV\Leiner\leiner_partes_000.wav,Leiner,"A veces me preocupa no ser el héroe que todo el mundo cree que soy. Los filósofos me aseguran que ese es el momento, que los signos se han cumplido. Pero yo me sigo preguntando si no tienen al hombre equivocado. Tanta gente depende de mí. Dicen que tengo en mis manos el futuro del mundo entero. ¿Qué pensarían si supieran que su paladín, el héroe de la sierra, su salvador, duda de sí mismo? Tal vez..."
Audios_WAV\Leiner\leiner_partes_001.wav,Leiner,"No solo se sorprendería en absoluto, en cierto modo es lo que más me ocupa, tal vez en el fondo de sus corazones duda, igual que dudo yo. Cuando me ven, ven a un mentiroso. Me considero un hombre de principios, pero ¿qué hombre no se considera como tal? Incluso el asesino, según el advertido, interpreta sus acciones como morales. Tal vez otra persona, al leer mi video,"
Audios_WAV\Leiner\leiner_partes_002.wav,Leiner,"me considero un tirano religioso. ¿Puedes llamarme arrogante? ¿Qué hace que la opinión de ese hombre sea menos válida que la mía propia? Supongo que todo se ruye o sea una sola cosa. Al final, soy yo quien tiene los ejércitos de su parte. Si los hombres leen estas palabras, que sepan que el poder es una pesada carga. No busquéis caer en sus redes sociales."
Audios_WAV\Leiner\leiner_partes_003.wav,Leiner,"Las progresivas de Terris dicen que yo tendré el poder para salvar el mundo, sin embargo, dan a entender que también tendré el poder para destruirlo. Llegamos a Terris a principios de la semana y tengo que decir que el paisaje me parecía maravilloso. Las grandes montañas con sus cimas nevadas y sus faldas boscosas se alzan como dioses"
Audios_WAV\Leiner\leiner_partes_004.wav,Leiner,"guardi... eh... guardianes sobre estas tierras verdes de fertilidad. Mis propias tierras del sur son llanas, creo que serían menos terribles si hubiera unas cuantas montañas para dar variedad al terreno. Aquí la gente se dedica principalmente al pastoreo, aunque no es extraño encontrar leneadores y grajeros. Es una tierra a paz su..."
Audios_WAV\Leiner\leiner_partes_005.wav,Leiner,"de luego. Parece extraño que un sitio tan adricula sea la cuna de las profecías y de la teología en la que se basa actualmente el mundo entero. Al parecer, en la siguiente etapa de mi vida nos llevará a las tierras altas de Térris. Si se que es un lugar frío e implacable. Una tierra donde las montañas mismas están hechas de hielo. Nuestros sirvientes no sirven para este viaje. Es probable que la tierra no sea tan fría como la tierra"
Audios_WAV\Leiner\leiner_partes_006.wav,Leiner,"que tengamos que contratar a algunos portadores de terris que lleven nuestras pertenencias. Ni siquiera comprendo lo que supone que tengo que hacer, los filósofos de terris dicen que lo sabré cuando llegue el momento, pero es un flaco consuelo. La profundidad debe ser destruida y al parecer soy la única persona que puede hacerlo, si no lo hago pronto, de esa tierra solo quedaran más que huesos y polvo. Nunca quizá"
Audios_WAV\Leiner\leiner_partes_007.wav,Leiner,"Esto, cierto. Pero alguien tiene que detener la profundidad, y al parecer, Térrez es el único sitio donde puede hacerse. Sin embargo, sobre este hecho no tengo que aceptar las palabras de los filósofos. Ahora puedo sentir nuestro objetivo. Puedo sentirlo. Aunque los otros no pueden. Late en mi mente, allá lejos en las montañas. Loache era un hombre alto, naturalmente."
Audios_WAV\Leiner\leiner_partes_008.wav,Leiner,"La mayoría de terricianos lo son. Es joven para lo que los otros lo respeten tanto. Tiene carisma. Y las mujeres de la corte probablemente lo describirían como guapo, que a su manera es un tanto hasta. Sin embargo, me sorprende que alguien preste atención a un hombre que predica tanto odio. Nunca he visto a que..."
Audios_WAV\Leiner\leiner_partes_009.wav,Leiner,"pero maldice la ciudad, no me conoce pero no te lo odio y lo oscilian de sus ojos él defenderá sus costumbres y sin embargo las violará, será su salvador y sin embargo lo llamaran hereje sus nombres será discordia y sin embargo lo amarán por ello en el fondo me preocupa que mi renuncia nos destruya a todos"
Audios_WAV\Leiner\leiner_partes_010.wav,Leiner,"Me sorprende cuántas naciones se han unido en pos de nuestro propósito. Sigen habiendo disidentes, naturalmente, y algunos reinos por desgracia se han ensarzado en guerras que no han podido detener. Sin embargo, contemplar la unidad general es glorioso, casi abrumador. Ojalá a las naciones de la humanidad no les hubiera hecho falta una..."
Audios_WAV\Leiner\leiner_partes_011.wav,Leiner,"amenaza tan terrible para valorar la paz y la cooperación. Parece que Rajesh representa una facción creciente en la cultura de Terris. Gran número de jóvenes piensan que sus inusitados poderes deberían ser usados para algo más que trabajar en el campo, engendrar hijos y tallar piedras. Son rudos, incluso violentos, muy distintos a los tranquilos y los hermosos."
Audios_WAV\Leiner\leiner_partes_012.wav,Leiner,"de filósofos y hombres santos de teres que he conocido. Tendré que ser vigilados con cuidado, estos terricianos podrían ser muy peligrosos si se les da la ocasión y el motivo. ¿Cómo sería si todas las naciones desde las islas del sur hasta las montañas de teres al norte estuvieran unidas bajo un solo gobierno? ¿Qué maravillas podrían conseguirse que"
Audios_WAV\Leiner\leiner_partes_013.wav,Leiner,"¿Qué progreso podría lograrse si la maniara enunciara permanentemente a sus disputas y se uniera? Supongo que es demasiado esperar. Un único imperio, unificado, nunca sucederá. Sé que debería dejar que un simple portador me perturbe. A veces me pregunto si me estoy volviendo loco. Tal vez sea debido a la presión de esa persona."
Audios_WAV\Leiner\leiner_partes_014.wav,Leiner,"saber que de algún modo debo soportar la carga de todo el mundo. Tal vez por las muertes que he visto, los amigos que he perdido, los amigos que he visto obligados a matar. Sea como sea, a veces veo sombras siguiéndome, oscuras criaturas que no comprendo ni deseo comprender. ¿Serán acaso frutos de mi mente agotada? No sé por qué me traicionó."
Audios_WAV\Leiner\leiner_partes_015.wav,Leiner,"Incluso así este hecho acosa mis pensamientos. Fue el que me descubrió, fue el filósofo de Therys que me llamó primero héroe de las eras. Parece irónicamente realista que ahora después de una larga puna por convencer a sus colegas sea el único hombre santo de importancia que predica en contra de mi reino."
Audios_WAV\Leiner\leiner_partes_016.wav,Leiner,"muchos creen que mi viaje comenzó en clenion, esa gran ciudad maravillosa olviden que no era rey cuando comencé mi misión, nada de eso, creo que los hombres harían bien recordar que esta tarea no le iniciaron emprendedores, sacerdotes, profetas ni generales, no comenzó en clenion"
Audios_WAV\Leiner\leiner_partes_017.wav,Leiner,"en Cordel, no Neóino ni las grandes naciones del este o del feroz imperio del oeste. Comenzó un pequeño pueblo sin importancia cuyo nombre no significa nada para vosotros. Comenzó con un joven hijo de herreros que no destacaban nada, excepto quizás en su habilidad para meterse en líos. Comenzó conmigo. A veces me pregunto que hubiera su"
Audios_WAV\Leiner\leiner_partes_018.wav,Leiner,"sucedido y si me hubiera quedado allí. En aquella pereza aldea de mi nacimiento, ¿habría sido horrero como mi padre? Tal vez habría tenido familia, hijos propios, tal vez otra persona habría tenido que llevar esta terrible carga. Alguien que pueda soportarla mejor que yo, alguien que merezca ser un hebre. Podríamos decir que en las circunstancias me obligaron a dejar atrás mi familia."
Audios_WAV\Leiner\leiner_partes_019.wav,Leiner,"Sin duda, si me hubiera quedado estaría muerto. Durante aquellos días, huyéndose y saber por qué, llevando la carga que no comprendía, supuse que me perdería en la ciudad y buscaría una vida para no llamar la atención. Empiezo a comprender poco a poco por qué el anonimato. Como te dije, no es un anonimato, es un desastre."
Audios_WAV\Leiner\leiner_partes_020.wav,Leiner,"tantas otras cosas es algo que he perdido para siempre. Kan y yo nos conocimos por casualidad, aunque supongo que él diría que fue la providencia. He conocido a muchos otros filósofos desde aquel día. Son cada uno de ellos hombres de gran sabiduría y sorprendente sagacidad. Hombres de una importancia..."
Audios_WAV\Leiner\leiner_partes_021.wav,Leiner,"casi palpable. No es así, Kan. En cierto modo, es tan improbable que fuese profeta como yo héroe. Nunca tuvo aire de sabiduría semansemonial. Tampoco era un hérodito religioso. La primera vez que nos vimos estaba investigando uno de sus ridículos intereses en la gran"
Audios_WAV\Leiner\leiner_partes_022.wav,Leiner,y biblioteca. Creo que trataba de determinar si los árboles pueden pensar o no. Que fuera quien finalmente descubrió al héroe de las heras de las Prohecias de Tereis es un asunto que me habría dado risa si los hechos hubieran sucedido de una manera algo distinta. No es una sombra. Esta cosa oscura me sigue. La cosa que solo yo puedo...
Audios_WAV\Leiner\leiner_partes_023.wav,Leiner,"ver, no es realmente una sombra, es negrusca y transparente pero no tiene el contorno sólido de una sombra, es insustancial, retorcida e informe, digamos que está hecho de una niebla negra o de bruma tal vez. El héroe de las cedras no será un hombre sin una fuerza, ninguna nación lo reclamará."
Audios_WAV\Leiner\leiner_partes_024.wav,Leiner,"Ninguna mujer lo conservará, ningún rey podrá matarlo, no pertenecerá a nadie, ni siquiera a sí mismo. Al principio estaban aquellos que no creerían que la profundidad fuera un peligro serio, al menos no para ellos. Sin embargo trajo consigo una plaga que he visto infectar a casi toda la tierra. Los ejércitos son inútiles contra ellos."
Audios_WAV\Leiner\leiner_partes_025.wav,Leiner,"Las grandes ciudades son arrasadas por su poder, las que ustedes ellas se pierden y la tierra muere. A eso combato. Este es el monstruo que debo derrotar. Me preocupa haber tardado demasiado. Ya he producido tanta destrucción que temo por la supervivencia de la humanidad. Es verdaderamente el fin del mundo como..."
